Symbol,Strength
ADANIPORTS,0
ASIANPAINT,0
AXISBANK,0
BAJAJ_AUTO,0
BAJFINANCE,0
BAJAJFINSV,14
BPCL,0
BHARTIARTL,0
BRITANNIA,0
CIPLA,0
COALINDIA,0
DIVISLAB,0
DRREDDY,0
EICHERMOT,0
GAIL,0
GRASIM,0
HCLTECH,0
HDFCBANK,0
HDFCLIFE,14
HEROMOTOCO,0
HINDALCO,0
HINDUNILVR,0
HDFC,0
ICICIBANK,0
ITC,14
IOC,0
INDUSINDBK,0
INFY,0
JSWSTEEL,0
KOTAKBANK,0
LT,0
M_M,0
MARUTI,0
NTPC,0
NESTLEIND,0
ONGC,0
POWERGRID,0
RELIANCE,0
SBILIFE,11
SHREECEM,0
SBIN,0
SUNPHARMA,0
TCS,0
TATAMOTORS,0
TATASTEEL,0
TECHM,0
TITAN,0
UPL,0
ULTRACEMCO,0
WIPRO,0
